object name,library name,text,rodata,data,bss,code,flash,ram
quec_http_client.c.obj,..\..\components\ql-kernel\libs\libql_http.a,16228,2362,90,13,18590,18680,103
ql_lbs_client.c.obj,..\..\components\ql-kernel\libs\libql_lbs.a,6074,666,0,16,6740,6740,16
mqtt_packet.c.obj,..\..\components\ql-kernel\libs\libql_mqtt.a,2368,276,0,0,2644,2644,0
ql_mqtt_client.c.obj,..\..\components\ql-kernel\libs\libql_mqtt.a,10516,654,0,16,11170,11170,16
quec_onenet_token.c.obj,..\..\components\ql-kernel\libs\libql_mqtt.a,1216,414,0,0,1630,1630,0
ql_socket.c.obj,..\..\components\ql-kernel\libs\libql_net.a,5344,854,0,94,6198,6198,94
ql_ssl.c.obj,..\..\components\ql-kernel\libs\libql_net.a,6468,859,0,32,7327,7327,32
ql_ntp_client.c.obj,..\..\components\ql-kernel\libs\libql_ntp.a,3988,687,0,12,4675,4675,12
ql_ping_app.c.obj,..\..\components\ql-kernel\libs\libql_ping.a,3428,575,0,12,4003,4003,12
quec_power_mg.c.obj,..\..\components\ql-kernel\libs\libql_power.a,3338,956,220,70,4294,4514,290
ber_tlv_length.c.obj,..\..\components\ql-kernel\libs\libql_tlv.a,192,0,0,0,192,192,0
ber_tlv_tag.c.obj,..\..\components\ql-kernel\libs\libql_tlv.a,220,0,0,0,220,220,0
quec_linklist.c.obj,..\..\components\ql-kernel\libs\libql_urc.a,2084,0,0,0,2084,2084,0
quec_urc.c.obj,..\..\components\ql-kernel\libs\libql_urc.a,4,0,0,2,4,4,2
base64.c.obj,..\..\components\ql-kernel\libs\libql_utils.a,188,65,0,0,253,253,0
data_conversion.c.obj,..\..\components\ql-kernel\libs\libql_utils.a,402,30,0,0,432,432,0
quec_aes.c.obj,..\..\components\ql-kernel\libs\libql_utils.a,228,148,0,0,376,376,0
quec_md5.c.obj,..\..\components\ql-kernel\libs\libql_utils.a,2130,64,0,0,2194,2194,0
quec_sha1.c.obj,..\..\components\ql-kernel\libs\libql_utils.a,246,0,0,0,246,246,0
quec_utf8.c.obj,..\..\components\ql-kernel\libs\libql_utils.a,152,0,108,0,152,260,108
ringbuffer.c.obj,..\..\components\ql-kernel\libs\libql_utils.a,248,0,0,0,248,248,0
